clg_name,fees,avg_pkg,rating
"Vellore Institute of Technology - [VIT University], Vellore","₹ 1,98,000","₹ 10,00,000",8.3 / 10
"Indian Institute of Engineering Science and Technology - [IIEST] Shibpur, Howrah","₹ 1,42,000","₹ 5,00,000",8.1 / 10
"IIT Mandi- Indian Institute of Technology - [IITM], Mandi","₹ 2,34,750","₹ 17,00,000",8.3 / 10
"National Institute of Technology - [NITK], Surathkal","₹ 1,57,280","₹ 11,10,000",8.5 / 10
"IIT Patna - Indian Institute of Technology - [IITP], Patna","₹ 2,70,250","₹ 1,20,00,000",8.5 / 10
"Thapar Institute of Engineering and Technology - [Thapar University], Patiala","₹ 4,13,600","₹ 25,45,000",7.7 / 10
"IIT Gandhinagar - Indian Institute of Technology - [IITG], Gandhinagar","₹ 2,29,426","₹ 68,00,000",8.7 / 10
"NIT Warangal, Warangal","₹ 2,07,000","₹ 1,80,00,000",8.4 / 10
"Jamia Millia Islamia University-[JMI], New Delhi","₹ 16,150","₹ 17,01,000",8.2 / 10
"National Institute of Technology - [NITC], Calicut","₹ 3,08,255","₹ 83,00,000",8.1 / 10
"IIT Ropar - Indian Institute of Technology - [IITR], Ropar","₹ 2,22,300","₹ 21,34,000",8.8 / 10
"Indian Institute of Space Science and Technology - [IIST], Thiruvananthapuram","₹ 1,44,900","₹ 20,88,000",8.4 / 10
"Visvesvaraya National Institute of Technology - [VNIT], Nagpur","₹ 1,49,200","₹ 46,08,000",8.1 / 10
"Institute of Technical Education and Research - [ITER], Bhubaneswar","₹ 2,35,000","₹ 7,50,000",8.2 / 10
"Birla Institute of Technology - [BIT Mesra], Ranchi","₹ 3,03,500","₹ 25,00,000",7.3 / 10
"Delhi Technological University - [DTU], New Delhi","₹ 2,19,000","₹ 17,50,000",8.2 / 10
"Amity University, Noida","₹ 3,11,000","₹ 55,75,000",8.1 / 10
"SRM Engineering College, Kanchipuram","₹ 2,60,000","₹ 8,19,000",7.3 / 10
"SSN College of Engineering - [SSNCE], Chennai","₹ 2,00,000","₹ 1,02,00,000",8.3 / 10
"SASTRA University, Thanjavur","₹ 1,67,000","₹ 45,00,000",7.5 / 10
"International Institute of Information Technology - [IIIT], Hyderabad","₹ 3,60,000","₹ 25,23,000",8.3 / 10
"Aligarh Muslim University - [AMU], Aligarh","₹ 2,69,445","₹ 60,00,000",8.2 / 10
"National Institute of Technology - [NIT], Kurukshetra","₹ 1,59,500","₹ 21,40,000",8.2 / 10
"MNNIT Allahabad - Motilal Nehru National Institute of Technology - [MNNIT], Allahabad","₹ 84,666","₹ 45,00,000",8.5 / 10
"Manipal Institute of Technology - [MIT], Manipal","₹ 18,62,000","₹ 29,30,000",8.6 / 10
"P.S.G College of Technology - [PSGCT], Coimbatore","₹ 55,000","₹ 82,05,000",8.8 / 10
"Jawaharlal Nehru Technological University - [JNTUH], Hyderabad","₹ 1,19,213","₹ 10,97,000",7.5 / 10
"National Institute of Technology - [NIT], Durgapur","₹ 1,86,100","₹ 40,00,000",8.6 / 10
"Sathyabama Institute of Science and Technology, Chennai","₹ 80,000","₹ 15,35,000",7.9 / 10
"Kalinga Institute of Industrial Technology - [KIIT], Bhubaneswar","₹ 3,50,000","₹ 62,00,000",8.5 / 10
"College of Engineering - [COEP], Pune","₹ 40,500","₹ 17,29,000",8.6 / 10
"IIT Jodhpur - Indian Institute of Technology - [IITJ], Jodhpur","₹ 2,51,800","₹ 88,00,000",9.1 / 10
"NIT Silchar, Silchar","₹ 1,54,500","₹ 9,00,000",8.2 / 10
"K L University - [KLU], Guntur","₹ 2,40,000","₹ 25,00,000",8.4 / 10
"Malaviya National Institute of Technology - [MNIT], Jaipur","₹ 1,77,665","₹ 23,00,000",8.4 / 10
"Panjab University - [PU], Chandigarh","₹ 1,14,305","₹ 47,00,000",7.8 / 10
"Indraprastha Institute of Information Technology - [IIITD], New Delhi","₹ 4,62,000","₹ 22,49,000",8.7 / 10
"Thiagarajar College of Engineering - [TCE], Madurai","₹ 82,000","₹ 55,00,000",8.5 / 10
"Sardar Vallabhbhai National Institute of Technology - [SVNIT], Surat","₹ 1,69,000","₹ 7,60,000",8 / 10
"Andhra University, College of Engineering - [AUCE], Visakhapatnam","₹ 10,000","₹ 11,50,000",7.7 / 10
"National Institute of Technology - [NIT], Hamirpur","₹ 1,80,200","₹ 10,36,000",8.2 / 10
"Indian Maritime University - [IMU], Chennai","₹ 2,25,000","₹ 34,25,000",8.1 / 10
"Kalasalingam Academy of Research and Education, Krishnankovil","₹ 1,20,600","₹ 3,00,000",7 / 10
"Maulana Azad National Institute of Technology - [MANIT], Bhopal","₹ 1,54,000","₹ 7,50,000",8 / 10
"R V College of Engineering - [RVCE], Bangalore","₹ 13,00,000","₹ 13,01,000",7.9 / 10
"Ramaiah Institute of Technology - [RIT], Bangalore","₹ 86,226","₹ 58,33,000",8 / 10
"International Institute of Information Technology - [IIIT-B], Bangalore","₹ 3,84,000","₹ 15,16,000",8.5 / 10
"National Institute of Technology - [NIT] Meghalaya, Shillong","₹ 1,55,150","₹ 1,80,00,000",7.5 / 10
"Coimbatore Institute of Technology - [CIT], Coimbatore","₹ 25,800","₹ 58,00,000",7.9 / 10
"BMS College of Engineering - [BMSCE], Bangalore","₹ 3,50,000","₹ 41,60,000",8.3 / 10
"National Institute of Technology - [NIT], Agartala","₹ 1,50,550","₹ 6,19,000",8.1 / 10
"College of Engineering, Thiruvananthapuram","₹ 50,000","₹ 64,00,000",8.4 / 10
"Karunya Institute of Technology and Sciences - [Karunya Deemed University], Coimbatore","₹ 2,18,500","₹ 27,00,000",8.1 / 10
"Guru Gobind Singh Indraprastha University - [GGSIPU], New Delhi","₹ 1,32,000","₹ 32,00,000",7.6 / 10
"National Institute of Technology - [NIT], Raipur","₹ 1,40,600","₹ 74,00,000",7.7 / 10
"Indian Institute of Information Technology Design and Manufacturing - [IIITDM], Jabalpur","₹ 1,58,940","₹ 4,50,000",8 / 10
"Kumaraguru College of Technology - [KCT], Coimbatore","₹ 1,00,200","₹ 6,50,000",8.3 / 10
"Pondicherry Engineering College - [PEC], Pondicherry","₹ 1,71,200","₹ 13,89,000",7.7 / 10
"Punjab Engineering College University of Technology - [PEC], Chandigarh","₹ 2,07,000","₹ 1,25,00,000",8 / 10
"Siddaganga Institute of Technology - [SIT], Tumkur","₹ 1,15,796","₹ 19,08,000",7.8 / 10
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management - [ABVIIITM], Gwalior","₹ 1,87,250","₹ 51,75,000",7.9 / 10
"Jaypee Institute of Information Technology University - [JIIT], Noida","₹ 2,69,500","₹ 12,59,000",8 / 10
"Indian Institute of Information Technology - [IIIT], Allahabad","₹ 1,04,000","₹ 54,75,000",8.7 / 10
"University College of Engineering, Osmania University - [UCE], Hyderabad","₹ 35,000","₹ 46,00,000",8.4 / 10
"Dayalbagh Educational Institute Faculty of Engineering, Agra","₹ 51,300","₹ 11,46,000",8.2 / 10
"Shri Mata Vaishno Devi University - [SMVDU], Katra","₹ 1,69,000","₹ 51,00,000",7.8 / 10
"National Institute of Technology - [NIT], South Goa","₹ 1,43,200","₹ 5,00,000",7.6 / 10
"Mepco Schlenk Engineering College, Sivakasi","₹ 1,34,000","₹ 53,00,000",8.1 / 10
"Sri Venkateswara University College of Engineering, Tirupati","₹ 16,395","₹ 8,50,000",7.9 / 10
"Government College of Technology - [GCT], Coimbatore","₹ 9,180","₹ 62,00,000",8.1 / 10
"Dhirubhai Ambani Institute of Information and Communication Technology - [DA-IICT], Gandhinagar","₹ 1,72,000","₹ 7,00,000",8.7 / 10
"Army Institute of Technology - [AIT], Pune","₹ 2,50,520","₹ 39,20,000",8.9 / 10
"Bharati Vidyapeeth Deemed University - [BVDU], Pune","₹ 1,57,500","₹ 21,30,000",7.7 / 10
"Hindustan Institute of Technology and Science - [HITS], Chennai","₹ 2,29,500","₹ 53,00,000",6.6 / 10
"C. V. Raman Global University, Bhubaneswar","₹ 1,75,000","₹ 13,58,000",7.7 / 10
"I.K. Gujral Punjab Technical University - [IKG-PTU], Jalandhar","₹ 96,100","₹ 44,00,000",7.4 / 10
"Sri Krishna College of Engineering and Technology - [SKCET], Coimbatore","₹ 50,000","₹ 10,18,000",8.1 / 10
"Kongu Engineering College - [KEC], Erode","₹ 55,000","₹ 58,20,000",8.3 / 10
"Vignan's Foundation for Science, Technology, and Research, Guntur","₹ 1,20,000","₹ 12,43,000",8.3 / 10
"B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU], Chennai","₹ 85,000","₹ 64,00,000",8.4 / 10
"Bannari Amman Institute of Technology - [BIT], Sathyamangalam","₹ 75,000","₹ 25,39,000",8.4 / 10
"Institute of Engineering and Management - [IEM], Kolkata","₹ 1,78,400","₹ 51,30,000",8 / 10
"Sona College of Technology, Salem","₹ 55,000","₹ 3,20,000",8.5 / 10
"Chaitanya Bharathi Institute of Technology - [CBIT], Hyderabad","₹ 1,86,733","₹ 8,50,000",8.2 / 10
"Tamil Nadu Veterinary and Animal Sciences University - [TANUVAS], Chennai","₹ 21,415","₹ 18,26,000",8.2 / 10
"Veermata Jijabai Technological Institute - [VJTI], Mumbai","₹ 85,551","₹ 44,00,000",7.9 / 10
"JNTUK University College of Engineering, Kakinada, East Godavari","₹ 10,000","₹ 10,30,000",7.9 / 10
"Graphic Era University, School of Engineering and Technology - [GEU], Dehradun","₹ 2,36,400","₹ 1,51,00,000",8.2 / 10
"Dr BR Ambedkar National Institute of Technology - [NIT], Jalandhar","₹ 1,64,000","₹ 4,50,000",7.9 / 10
"GH Raisoni College of Engineering - [GHRCE], Nagpur","₹ 1,61,330","₹ 12,00,000",8.5 / 10
"Mukesh Patel School of Technology Management and Engineering - [MPSTME], Mumbai","₹ 3,50,000","₹ 11,55,000",8.2 / 10
"Sardar Patel Institute of Technology - [SPIT], Mumbai","₹ 1,72,804","₹ 85,36,000",8.1 / 10
"Faculty of Engineering and Technology, Jain University - [FET JU], Bangalore","₹ 2,10,000","₹ 8,63,000",8.1 / 10
"Shri Ramdeobaba College of Engineering and Management - [RCOEM], Nagpur","₹ 1,65,500","₹ 52,00,000",8.1 / 10
"Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology - [VNR VJIET], Hyderabad","₹ 1,31,000","₹ 7,66,000",8.5 / 10
"National Institute of Food Technology Entrepreneurship and Management - [NIFTEM], Sonepat","₹ 2,03,550","₹ 50,00,000",8.2 / 10
"Sri Jayachamarajendra College of Engineering - [SJCE], Mysore","₹ 4,75,000","₹ 30,78,000",8.3 / 10
"Jaypee University of Information Technology - [JUIT], Solan","₹ 2,41,000","₹ 2,02,00,000",8 / 10
"Cochin University of Science and Technology, School of Engineering -[SOE] Thrikkakara, Ernakulam","₹ 86,040","₹ 10,41,000",8.2 / 10
"University Institute of Engineering, Chandigarh University - [UIE], Chandigarh","₹ 1,77,000","₹ 32,00,000",8.4 / 10
"School of Engineering and Technology, NCU - [SOET], Gurgaon","₹ 2,68,000","₹ 4,99,000",8.3 / 10
"Lovely Professional University - [LPU], Jalandhar","₹ 2,40,000","₹ 33,05,000",8.2 / 10
"St. Joseph College Of Engineering, Kanchipuram","₹ 60,000","₹ 5,00,000",8.3 / 10
"Saveetha Engineering College - [SEC], Chennai","₹ 2,00,000","₹ 36,00,000",8 / 10
"Sri Sairam Engineering College, Chennai","₹ 50,000","₹ 25,00,000",8.2 / 10
"Veer Surendra Sai University of Technology - [VSSUT], Burla","₹ 91,280","₹ 12,00,000",8 / 10
"Dayananda Sagar College of Engineering - [DSCE], Bangalore","₹ 91,796","₹ 45,00,000",8.1 / 10
"NMAM Institute of Technology - [NMAMIT], Udupi","₹ 1,00,000","₹ 43,00,000",8 / 10
"National Institute of Technology - [NIT], Jamshedpur","₹ 1,88,000","₹ 4,00,000",8 / 10
"CVR College of Engineering, Ibrahimpatnam, Rangareddy","₹ 1,15,000","₹ 10,00,000",8.2 / 10
"Yeshwantrao Chavan College of Engineering - [YCCE], Nagpur","₹ 1,63,801","₹ 42,00,000",8.2 / 10
"Institute of Technology, Nirma University, Ahmedabad","₹ 2,21,200","₹ 8,50,000",8.3 / 10
"National Institute of Technology - [NITP], Patna","₹ 1,65,700","₹ 41,50,000",7.9 / 10
"Sant Longowal Institute of Engineering and Technology - [SLIET], Sangrur","₹ 81,000","₹ 24,85,000",7.6 / 10
"Sri Ramakrishna Engineering College - [SREC], Coimbatore","₹ 55,000","₹ 1,95,00,000",8.2 / 10
"College of Technology, GB Pant University of Agriculture & Technology, Pantnagar","₹ 65,344","₹ 43,88,000",7 / 10
"Institute of Aeronautical Engineering - [IARE], Hyderabad","₹ 1,01,000","₹ 19,57,000",8.2 / 10
"Nitte Meenakshi Institute of Technology - [NMIT], Bangalore","₹ 4,50,000","₹ 1,40,00,000",7.8 / 10
"Sri Venkateswara College of Engineering - [SVCE], Sriperumbudur","₹ 85,200","₹ 13,10,000",8.2 / 10
"Rajalakshmi Engineering College - [REC], Chennai","₹ 50,000","₹ 44,00,000",7.1 / 10
"Faculty of Technology and Engineering, Maharaja Sayajirao University of Baroda, Vadodara","₹ 7,640","₹ 25,80,000",8.1 / 10
"PES University - [PESU], Bangalore","₹ 3,50,000","₹ 16,06,000",8 / 10
"Heritage Institute of Technology - [HIT], Kolkata","₹ 1,16,200","₹ 54,22,000",7.9 / 10
"Sri Krishna College of Technology - [SKCT], Coimbatore","₹ 2,00,000","₹ 14,70,000",8.4 / 10
"PSNA College of Engineering and Technology, Dindigul","₹ 2,00,000","₹ 52,00,000",8.4 / 10
"BV Raju Institute of Technology - [BVRIT], Hyderabad","₹ 1,20,000","₹ 19,00,000",8.5 / 10
"J.C. Bose University Of Science And Technology, YMCA, Faridabad","₹ 1,02,942","₹ 15,00,000",7.5 / 10
"University of Petroleum and Energy Studies - [UPES], Dehradun","₹ 3,52,000","₹ 9,50,000",8.1 / 10
"National Institute of Technology - [NIT], Imphal","₹ 1,47,700","₹ 3,92,000",7.9 / 10
"Vardhaman College of Engineering - [VCE], Hyderabad","₹ 1,40,000","₹ 28,00,000",8.1 / 10
"BMS Institute of Technology and Management - [BMSIT], Bangalore","₹ 2,00,000","₹ 3,96,000",8 / 10
"B. N. M. Institute of Technology - [BNMIT], Bangalore","₹ 8,00,000","₹ 12,50,000",7.6 / 10
"KLE Technological University, Hubli","₹ 89,473","₹ 7,00,000",8.4 / 10
"RMK Engineering College - [RMKEC], Thiruvallur","₹ 55,000","₹ 44,00,000",8.1 / 10
"Walchand College of Engineering - [WCE], Sangli","₹ 84,935","₹ 4,00,000",8.3 / 10
"Vishwakarma Institute of Information Technology - [VIIT], Pune","₹ 1,64,894","₹ 72,00,000",7.9 / 10
"Maulana Abul Kalam Azad University of Technology - [MAKAUT], Kolkata","₹ 70,300","₹ 4,50,000",7.7 / 10
"Anurag University, Hyderabad","₹ 2,50,000","₹ 24,00,000",7.6 / 10
"Dr. Ambedkar Institute of Technology - [AIT], Bangalore","₹ 30,200","₹ 7,50,000",7.3 / 10
"Indira Gandhi Delhi Technical University For Women -[IGDTUW], New Delhi","₹ 88,000","₹ 14,00,000",7.8 / 10
"Narula Institute of Technology - [NIT Agarpara], Kolkata","₹ 1,41,994","₹ 11,87,000",8 / 10
"National Engineering College - [NEC], Thoothukkudi","₹ 50,000","₹ 44,00,000",8.2 / 10
"PES College of Engineering - [PESCE], Mandya","₹ 76,800","₹ 4,50,000",8 / 10
"Sree Vidyanikethan Engineering College - [SVEC], Tirupati","₹ 2,80,000","₹ 16,40,000",8.4 / 10
"Manav Rachna International Institute Of Research And Studies, Faculty of Engineering and Technology - [MRIIRSFET], Faridabad","₹ 1,96,500","₹ 6,77,000",7.4 / 10
"Vasavi College of Engineering, Hyderabad","₹ 1,30,000","₹ 40,43,000",7.8 / 10
"CMR Institute of Technology - [CMRIT], Bangalore","₹ 3,34,000","₹ 11,00,000",8.1 / 10
"G. Pulla Reddy Engineering College - [GPREC], Kurnool","₹ 80,000","₹ 42,00,000",8.4 / 10
"Haldia Institute of Technology - [HIT], Haldia","₹ 1,20,700","₹ 36,00,000",7.8 / 10
"Ramrao Adik Institute of Technology - [RAIT], Navi Mumbai","₹ 3,25,000","₹ 5,50,000",8.5 / 10
"Sri Venkateswara College of Engineering and Technology - [SVCET], Chittoor","₹ 65,000","₹ 25,00,000",7.9 / 10
"The National Institute of Engineering - [NIE], Mysore","₹ 44,090","₹ 31,50,000",8.1 / 10
"North Eastern Regional Institute of Science and Technology - [NERIST], Itanagar","₹ 13,750","₹ 5,67,000",7.1 / 10
"Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC], Vijayawada","₹ 71,050","₹ 32,00,000",8.3 / 10
"Sardar Patel College of Engineering - [SPCE], Mumbai","₹ 1,70,000","₹ 35,00,000",7.9 / 10
"Dr. Mahalingam College of Engineering & Technology - [MCET], Pollachi","₹ 50,000","₹ 42,40,000",7.4 / 10
"Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET], Hyderabad","₹ 1,38,500","₹ 3,00,00,000",8 / 10
"K. J. Somaiya College of Engineering - [KJSCE], Mumbai","₹ 4,32,000","₹ 6,15,000",8.1 / 10
"Kakatiya Institute of Technology & Science - [KITSW], Warangal","₹ 1,25,000","₹ 34,00,000",8.2 / 10
"Shri Vishnu Engineering College for Women - [SVECW], Bhimavaram","₹ 70,000","₹ 10,20,000",8.8 / 10
"Alliance College of Engineering and Design, Bangalore","₹ 7,75,000","₹ 8,10,000",7.4 / 10
"Saveetha School of Engineering - [SSE], Chennai","₹ 45,000","₹ 53,00,000",8.4 / 10
"JNTUA College of Engineering, Anantapur","₹ 25,000","₹ 14,72,000",7.5 / 10
"Pimpri Chinchwad College of Engineering - [PCCOE], Pune","₹ 1,46,086","₹ 72,50,000",8 / 10
"Basaveshwar Engineering College - [BEC], Bagalkot","₹ 65,340","₹ 21,00,000",7.7 / 10
"MKSSS's Cummins College of Engineering for Women, Pune","₹ 2,07,265","₹ 30,50,000",8.3 / 10
"Dwarkadas J Sanghvi College of Engineering - [DJSCE], Mumbai","₹ 1,94,000","₹ 6,00,000",8.2 / 10
"Sagi Ramakrishnam Raju Engineering College - [SRKR ], Bhimavaram","₹ 70,000","₹ 25,00,000",8.3 / 10
"Sri Sairam Institute of Technology - [SSIT], Chennai","₹ 2,02,000","₹ 7,50,000",8.2 / 10
"Dr. M.G.R. Educational and Research Institute, Chennai","₹ 80,000","₹ 50,15,000",7.6 / 10
"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Chennai","₹ 55,000","₹ 14,00,000",6.9 / 10
"Thakur College of Engineering and Technology - [TCET], Mumbai","₹ 1,58,376","₹ 52,00,000",8 / 10
"Easwari Engineering College - [EEC], Chennai","₹ 55,000","₹ 3,00,000",7.9 / 10
"Gayatri Vidya Parishad College of Engineering, Visakhapatnam","₹ 69,000","₹ 9,00,000",8 / 10
"Indian Institute of Information Technology Design & Manufacturing - [IIITDM], Chennai","₹ 1,35,100","₹ 24,00,000",8.1 / 10
"Dr. B R Ambedkar Institute of Technology, Port Blair","₹ 12,083","₹ 5,50,000",6.7 / 10
"Manipal University - [MUJ], Jaipur","₹ 3,34,000","₹ 29,00,000",8.3 / 10
"The LNM Institute of Information Technology - [LNMIIT], Jaipur","₹ 3,74,800","₹ 4,80,000",8 / 10
"SRM Institute of Science and Technology - [SRMIST], Chennai","₹ 2,50,000","₹ 30,00,000",8.1 / 10
"Christ University, Bangalore","₹ 1,65,000","₹ 49,75,000",8.3 / 10
"Manipal Academy of Higher Education - [MAHE], Manipal","₹ 3,35,000","₹ 4,00,000",8.3 / 10
"Biju Patnaik University of Technology - [BPUT], Rourkela","₹ 2,35,000","₹ 16,00,000",7.5 / 10
"Sharda University - [SU], Greater Noida","₹ 1,80,000","₹ 3,00,000",8.1 / 10
"SVKM's Narsee Monjee Institute of Management Studies - [NMIMS University], Navi Mumbai","₹ 2,75,000","₹ 4,75,000",8 / 10
"KR Mangalam University, Gurgaon","₹ 1,75,000","₹ 26,58,000",7.8 / 10
"University Visvesvaraya College of Engineering - [UVCE], Bangalore","₹ 22,430","₹ 3,67,000",7.5 / 10
"Indian Institute of Science - [IISc], Bangalore","₹ 2,20,200","₹ 28,75,000",8.8 / 10
"Jain University - [JU], Bangalore","₹ 2,10,000","₹ 8,66,000",7.9 / 10
"Galgotias University - [GU], Greater Noida","₹ 1,64,000","₹ 36,00,000",7.5 / 10
"Nirma University - [NU], Ahmedabad","₹ 2,21,200","₹ 9,70,000",8.3 / 10
"Cochin University of Science and Technology - [CUSAT], Kochi","₹ 97,380","₹ 47,00,000",7.4 / 10
"REVA University, Bangalore","₹ 18,00,000","₹ 4,95,927",8.5 / 10
"Chitkara University - [CU], Patiala","₹ 1,64,000","₹ 14,00,000",7.9 / 10
"Singhania University, Jhunjhunu","₹ 42,000","₹ 6,26,000",7 / 10
"Netaji Subhas University of Technology - [NSUT], New Delhi","₹ 2,29,000","₹ 40,00,000",7.4 / 10
"Shiv Nadar University - [SNU], Greater Noida","₹ 4,00,000","₹ 43,00,000",8.6 / 10
"Harcourt Butler Technological University - [HBTU], Kanpur","₹ 1,35,000","₹ 3,04,000",7.8 / 10
"Jaipur National University - [JNU], Jaipur","₹ 1,22,000","₹ 5,07,000",8.1 / 10
"Integral University, Lucknow","₹ 1,40,000","₹ 37,00,000",8 / 10
"Jawaharlal Nehru Technological University - [JNTU], Anantapur",--,"₹ 4,70,000",7.5 / 10
"Vellore Institute of Technology - [VIT], Chennai","₹ 1,98,000","₹ 15,00,000",7.9 / 10
"K L University - [KLH], Hyderabad","₹ 2,65,000","₹ 6,30,000",8 / 10
"Manav Rachna International Institute of Research and Studies - [MRIIRS], Faridabad","₹ 1,81,500","₹ 38,50,000",7.8 / 10
"Amity University, Kolkata","₹ 1,88,000","₹ 18,00,000",8.2 / 10
"National Institute of Technology - [NIT], New Delhi","₹ 1,78,200","₹ 3,60,000",7.3 / 10
"Pandit Deendayal Energy University - [PDEU], Gandhinagar","₹ 2,59,000","₹ 10,00,000",8.1 / 10
"Alliance University, Bangalore","₹ 6,25,000","₹ 3,50,000",7.8 / 10
"Pandit Deendayal Energy University, School of Technology - [PDEU SOT], Gandhinagar","₹ 2,53,000","₹ 4,00,000",8.5 / 10
"IIT Tirupati - Indian Institute of Technology - [IITTP], Tirupati","₹ 2,29,450","₹ 8,10,000",8.5 / 10
"Central Institute of Petrochemicals Engineering & Technology - [CIPET], Ahmedabad","₹ 65,000","₹ 15,00,000",7.7 / 10
"VIT Bhopal University, Bhopal","₹ 2,01,000","₹ 21,00,000",8 / 10
"J.S. University - [JSU], Shikohabad","₹ 46,700","₹ 5,52,000",8.5 / 10
"Gurugram University, Gurgaon","₹ 40,000","₹ 30,00,000",8.1 / 10
"DIT University - [DIT], Dehradun","₹ 2,00,000","₹ 45,00,000",7.8 / 10
"National Institute of Technology - [NIT], Srinagar","₹ 1,64,500","₹ 9,00,000",7.3 / 10
"Bharath University - Bharath Institute of Higher Education and Research - [BIHER], Chennai","₹ 1,50,000","₹ 6,00,000",7.7 / 10
"GLA University, Mathura","₹ 1,71,000","₹ 46,50,000",8.4 / 10
"IIT Palakkad - Indian Institute of Technology - [IITPKD], Palakkad","₹ 2,23,900","₹ 5,50,000",8.7 / 10
"Presidency University, Bangalore","₹ 2,25,000","₹ 10,00,000",8 / 10
"NIMS University, Jaipur","₹ 1,50,000","₹ 5,05,406",8.6 / 10
"Vels Institute of Science, Technology & Advanced Studies, Chennai","₹ 2,87,250","₹ 41,60,000",7.8 / 10
"Birsa Institute of Technology - [BIT] Sindri, Dhanbad","₹ 20,332","₹ 10,31,000",7.9 / 10
"Institute of Engineering and Technology - [IET], Lucknow","₹ 89,775","₹ 25,00,000",7.5 / 10
"Techno India University, Kolkata","₹ 89,200","₹ 7,50,000",7.4 / 10
"Vishwakarma Institute of Technology, Pune","₹ 1,92,044","₹ 60,10,000",7.8 / 10
"JECRC University - [JU], Jaipur","₹ 2,20,000","₹ 14,00,000",8.1 / 10
"Birla Institute of Technology and Science - [BITS], Hyderabad","₹ 5,71,575","₹ 32,00,000",9 / 10
"Amity University, Mumbai","₹ 2,84,000","₹ 4,26,000",8.5 / 10
"IIT Jammu - Indian Institute of Technology - [IITJ], Jammu","₹ 2,79,190","₹ 21,00,000",8.7 / 10
